task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
gpt_wikitext103,constant_ild,dense,prefix_10,accuracy_change,False,3,2,0.11520390709241231,0.009463800733036647,0.09169452279416303,0.1387132913906616,"[2000, 2001, 2002]","[0.12035930156707764, 0.12097066640853882, 0.10428175330162048]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_0,ce,False,3,2,-0.29716833755575883,0.055272036850338845,-0.4344716887057434,-0.15986498640577432,"[2000, 2001, 2002]","[-0.3493770700160086, -0.2392727107536503, -0.30285523189761765]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_0,accuracy,False,3,2,0.04162829120953878,0.010023968890777791,0.016727372065674328,0.06652921035340323,"[2000, 2001, 2002]","[0.050642311573028564, 0.030833154916763306, 0.04340940713882446]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_0,excess_ce,False,3,2,-0.4305941612739875,0.034243551489119894,-0.5156598589153506,-0.34552846363262435,"[2000, 2001, 2002]","[-0.4569825311986415, -0.39189779467699015, -0.4429021579463308]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_0,accuracy_change,False,3,2,0.05634155869483948,0.007578185607036973,0.037516302041096725,0.07516681534858223,"[2000, 2001, 2002]","[0.06246823072433472, 0.047867417335510254, 0.05868902802467346]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_1,ce,False,3,2,-0.3310043921638635,0.04030597981781287,-0.43112999664184326,-0.23087878768588374,"[2000, 2001, 2002]","[-0.28491151235937107, -0.34846900149089555, -0.359632662641324]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_1,accuracy,False,3,2,0.04261676470438639,0.0025976986191898277,0.036163723600469405,0.04906980580830338,"[2000, 2001, 2002]","[0.04052734375, 0.04179766774177551, 0.04552528262138367]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_1,excess_ce,False,3,2,-0.46443021588209216,0.06228271042708306,-0.619149045649448,-0.3097113861147364,"[2000, 2001, 2002]","[-0.392516973542004, -0.5010940854142354, -0.49967958869003715]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_1,accuracy_change,False,3,2,0.057330032189687095,0.004421462469481791,0.04634651052777435,0.06831355385159985,"[2000, 2001, 2002]","[0.05235326290130615, 0.05883193016052246, 0.060804903507232666]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_2,ce,False,3,2,-0.5351063927337729,0.17918045176587968,-0.9802153101894289,-0.08999747527811697,"[2000, 2001, 2002]","[-0.73935277287553, -0.40437906932055423, -0.4615873360052345]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_2,accuracy,False,3,2,0.06710228323936462,0.023202276224620958,0.00946463386931904,0.12473993260941021,"[2000, 2001, 2002]","[0.09329348802566528, 0.04912188649177551, 0.058891475200653076]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_2,excess_ce,False,3,2,-0.6685322164520016,0.1561244518715597,-1.0563668550860617,-0.2806975778179414,"[2000, 2001, 2002]","[-0.846958234058163, -0.5570041532438941, -0.6016342620539477]"
gpt_wikitext103,constant_ild,dense,random_keeps_first_2,accuracy_change,False,3,2,0.08181555072466533,0.02057576581128155,0.030702514922929393,0.13292858652640127,"[2000, 2001, 2002]","[0.10511940717697144, 0.06615614891052246, 0.07417109608650208]"
gpt_wikitext103,constant_ild,dense,delete_first_only,ce,False,3,2,0.2287877710854135,0.016090975125171235,0.18881557295674065,0.2687599692140864,"[2000, 2001, 2002]","[0.21108604058986735, 0.23274925666126833, 0.24252801600510487]"
gpt_wikitext103,constant_ild,dense,delete_first_only,accuracy,False,3,2,0.005007198701302211,0.007533275959185127,-0.013706496202586443,0.023720893605190866,"[2000, 2001, 2002]","[0.01310419850051403, -0.001794334501028061, 0.003711732104420662]"
gpt_wikitext103,constant_ild,dense,delete_first_only,excess_ce,False,3,2,0.09536194736718488,0.013205759218219667,0.06255702287976309,0.12816687185460668,"[2000, 2001, 2002]","[0.10348057940723443, 0.08012417273792849, 0.10248108995639171]"
gpt_wikitext103,constant_ild,dense,delete_first_only,accuracy_change,False,3,2,0.01972046618660291,0.0048860668037308905,0.007582803376898942,0.03185812899630688,"[2000, 2001, 2002]","[0.024930117651820183, 0.015239927917718887, 0.01899135299026966]"
gpt_wikitext103,decreasing_ild,dense,full,ce,False,3,2,0.22462643775836563,0.013031871344156648,0.192253474696535,0.2569994008201963,"[2000, 2001, 2002]","[0.21002726826241336, 0.2350847973086969, 0.2287672477039866]"
gpt_wikitext103,decreasing_ild,dense,full,accuracy,False,3,2,-0.024197041988372803,0.00130523729532633,-0.027439431176589382,-0.020954652800156223,"[2000, 2001, 2002]","[-0.02283012866973877, -0.02543032169342041, -0.02433067560195923]"
gpt_wikitext103,decreasing_ild,dense,full,excess_ce,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
gpt_wikitext103,decreasing_ild,dense,full,accuracy_change,False,3,2,0.0,0.0,0.0,0.0,"[2000, 2001, 2002]","[0.0, 0.0, 0.0]"
